AudioPath,Label
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a01Fa.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a01Nc.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a01Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a02Fc.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a02Nc.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a02Ta.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a02Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a02Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a04Ad.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a04Fd.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a04Lc.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a04Nc.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a04Ta.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a04Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a05Aa.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a05Fc.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a05Nd.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a05Tc.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a05Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a05Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a07Fa.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a07Fb.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a07La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a07Nc.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03a07Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b01Fa.wav,happy
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b01Lb.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b01Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b01Td.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b01Wa.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b01Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b02Aa.wav,fear
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b02La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b02Na.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b02Tb.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b02Wb.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b03Nb.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b03Tc.wav,sad
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b03Wc.wav,anger
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b09La.wav,boredom
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b09Nc.wav,neutral
C:/Users/KRISHNA/Desktop/SHWETA/SpringSummer 2024/Software Engineering/Project/Datasets/EmoDB\03b09Tc.wav,sad
